index,EMcrossnear,EMfracstdnear,EPstdnear,MMRstrengthnear,twoMMRstrengthnear,EMcrossfar,EMfracstdfar,EPstdfar,MMRstrengthfar,twoMMRstrengthfar,MEGNO,MEGNOstd,prelimStable,Stable
30931,0.05363147898579349,0.3199099653871664,0.00018802354429042485,0.03096070133854517,0.03096070133854517,0.19733077615354938,0.108245507679737,0.017271923893596285,0.003518320490621364,0.03096070133854517,147.30177096810561,52.16638331441009,True,False
30932,0.02483523541954636,0.37792811473751153,0.006178031121903945,0.16998792302003254,0.16998792302003254,0.4055729391439564,0.01028437172668498,0.00012812687273288143,0.0,0.16998792302003254,6.8990317550825715,1.4741890784057006,True,False
30933,0.054980265019314106,0.006670104360620007,0.0005424501811247485,0.024785306688545002,0.024785306688545002,0.6616052898122566,0.0026362999176857355,0.0003440434422134406,0.0,0.024785306688545002,1.9990327462205608,0.0006220683894463327,True,True
30934,0.2097624684853464,0.05361011916990484,0.0026947961941873352,0.029122461679339257,0.029122461679339257,0.5832720870919424,0.04265843713807059,0.004210475236843219,0.0,0.029122461679339257,12.225477003626898,2.208708076499753,True,False
30935,0.10255934919551296,,,,,0.2112876928253206,,,,,,,False,False
30936,0.10766955585710797,0.02427495863085293,0.0007391824713480506,0.014225593931964174,0.014225593931964174,0.18337524500679217,0.06068985851946457,0.023571950409994585,0.007191155200128783,0.014225593931964174,6.542444356427999,1.2996015338975921,True,False
30937,0.24569101564224047,0.004872467856876356,0.00030162448524378456,0.0,0.0,0.45304095879103656,0.01456390044176836,0.004041787698205579,0.0,0.0,2.004748740101088,0.0011475236560231428,True,True
30938,0.45819465502136786,0.001159816415688099,0.0008603193489000878,0.0,0.0,0.5876921263733784,0.10300604097529278,0.0065512493548795505,0.0,0.0,1.961536113753689,0.016693696559191215,True,False
30939,0.05503241574025726,0.011424981814783021,0.0001644522765532342,0.008568053621841844,0.008568053621841844,0.2883377120009628,0.019915462447677407,0.00039974969664087885,0.0,0.008568053621841844,1.972847975219489,0.016254001666270817,True,True
30940,0.13027064425215085,0.06759374748722442,0.0007412369441279963,0.028944413129235208,0.028944413129235208,0.4428027715281082,0.08799322364895995,0.03772328624271961,0.0,0.028944413129235208,1.9948724895044236,0.0042239197605736375,True,False
30941,0.039497597284218255,0.24397016808521635,0.0007554776301266396,0.023819061730086244,0.023819061730086244,0.06799352870515096,0.18092305986749274,0.001347690904028352,0.008017359022070323,0.023819061730086244,110.43972434094059,26.51332947361318,True,False
30942,0.10808327200458968,0.08236407932884174,0.0003109269658332779,0.028116987310380995,0.028116987310380995,0.18324287207861428,0.02118329726123768,0.00024718252115320114,0.03504481891345251,0.028116987310380995,3.3524541370133707,0.3178238238800754,True,False
30943,0.10116199328693584,0.06977205266892428,0.005824647890250826,0.008184039637157199,0.008184039637157199,0.40560692713308083,0.014018073671008024,5.075682822747869e-05,0.0,0.008184039637157199,5.029414528277167,0.96470236200502,True,False
30944,0.1315793728844358,0.056874567298587524,0.025550040756280947,0.05985143079454017,0.05985143079454017,0.4206989970251034,0.023067663923158177,0.007005675682917654,0.0,0.05985143079454017,1.932320844426107,0.03447244411076883,True,False
30945,0.09964994825386858,0.022330389349741957,0.0005937686980774616,0.008251762012640555,0.008251762012640555,0.13850091840227216,0.03614890932249924,0.000998427243430715,0.013395249079576625,0.008251762012640555,19.409486113516287,5.554173192323999,True,False
30946,0.10840230534571632,0.02123420284608035,0.000442049045739638,0.0475154778145493,0.0475154778145493,0.5026188732057633,0.004684620631349303,0.0002856794836696892,0.0,0.0475154778145493,1.9996574543545005,2.551178882322663e-05,True,True
30947,0.3853336397896875,0.0682836655298058,0.07856008351405382,0.0,0.0,0.5015406967008785,0.0611673357589344,0.018224190194683323,0.0,0.0,21.19475419695311,7.069676284515266,True,False
30948,0.11785160862907473,0.022815969026195936,0.0005039450860792764,0.005887509267121234,0.005887509267121234,0.6810993807732578,0.005112525307009084,1.0094727140113416e-05,0.0,0.005887509267121234,1.9045234948503187,0.04911059655899126,True,False
30949,0.18238680761364734,0.002424832239369834,0.0006532951504700342,0.008975688391288053,0.008975688391288053,0.27517939635585215,0.005906093914479356,0.00032583051555670436,0.0024799355867978212,0.008975688391288053,2.000233242362061,0.006099858788893475,True,True
30950,0.14421626955020714,0.010561751828898338,0.0001718069862085693,0.017044995159889654,0.017044995159889654,0.4945920295501671,0.002679096618586253,0.00017436660917279355,0.0,0.017044995159889654,1.9920301052740959,0.004963517660543229,True,True
30951,0.061055422388373484,0.13821322855860427,0.0008614364286618297,0.022353942179084818,0.022353942179084818,0.3096883695171159,0.009520621429675543,0.001499166202684772,0.0,0.022353942179084818,190.72494591962533,42.71725624513429,True,False
30952,0.07701048832143999,0.025082408979843082,0.00013935114556301353,0.007611271760960606,0.007611271760960606,0.4149669800231119,0.009641768374106085,9.017043845160303e-05,0.0,0.007611271760960606,1.9829557443298733,0.009109205166269495,True,False
30953,0.13155117279574807,0.04753743368555649,0.0018587433898956199,0.0012307466937726084,0.0012307466937726084,0.24246615918460596,0.0010772439511423013,4.7618000176288255e-05,0.002842248094415623,0.0012307466937726084,2.4334541097588627,0.16307644638063087,True,False
30954,0.18298486816437926,0.03393078385828836,0.000571339911257346,0.02079738427340502,0.02079738427340502,0.4149993511629006,0.023121334025648414,0.0017473083763931176,0.0,0.02079738427340502,3.1939064306266967,0.42997301862240384,True,False
30955,0.1697327081940008,0.09834365150641464,0.005667709701106914,0.0015146210474116307,0.0015146210474116307,0.1784873850259716,0.010375196488557763,4.632772967036806e-05,0.026748185791057658,0.0015146210474116307,2.27698703624485,0.26100357864879836,True,False
30956,0.09211498362554194,0.048240760100683906,0.0010731448710260003,0.035764819620942245,0.035764819620942245,0.10969168485971889,0.06836100258332824,0.0016848479142861567,0.013042485716959606,0.035764819620942245,169.67496750587796,47.829272976512584,True,False
30957,0.3262497675082104,0.011763370010076555,0.00047979234602949416,0.0,0.0,0.4092485837389844,0.036558789311550065,0.0013075329294832475,0.0,0.0,1.940759361522559,0.04247789105843489,True,False
30958,0.10959692705946665,0.07124439774588535,0.005478211636963818,0.05498924008321176,0.05498924008321176,0.20865465261340738,0.04774838059669356,0.0017011391837994212,0.003773384070393953,0.05498924008321176,2.344854800184998,0.1640417250927404,True,False
