index,EMcrossnear,EMfracstdnear,EPstdnear,MMRstrengthnear,twoMMRstrengthnear,EMcrossfar,EMfracstdfar,EPstdfar,MMRstrengthfar,twoMMRstrengthfar,EMcrossouter,EMfracstdouter,EPstdouter,MMRstrengthouter,twoMMRstrengthouter,MEGNO,MEGNOstd,prelimStable,Stable
72077,0.4060172442787626,0.05332979311652365,5.138144893730784e-05,0.9954754108370183,0.0016815010844164783,0.6869700919372507,0.002039487819287596,4.851281255111101e-05,0.0006422803297850361,0.00040858787945437355,1.371909039846304,0.016237040184937716,0.011252612082601901,0.000251911154658682,2.6216285344689674e-05,2.0853241842335466,0.008602327360562462,True,False
72078,0.25133648111576784,0.06555935254276701,0.017645121775511897,0.37149939633875795,0.004786164868489349,0.3350948982276799,0.027031992209726425,0.0004066056277185626,0.06438816143365797,0.007116486703678331,0.6706529519038392,0.014749182355135436,0.0009109339351769464,8.011401661175875e-06,0.0,1.9611818571142658,0.011979896106682458,True,False
72079,0.07706196987012648,0.21400334841972188,0.0003296895022604395,0.1540443949411308,0.0221464142091731,0.2047543619536028,0.03796819007469413,0.0061213106315150465,0.020229464293890366,0.0008756871816908323,0.2975951062953748,0.03813626991483745,0.00891331637260489,0.01387234545728035,0.0001523661404415866,1.9602608882748134,0.01141877744018107,True,False
72080,0.08192875844709799,0.1602309604498034,0.0009862637136774071,2.090095089933486,0.05003684994733622,0.4288718113057617,0.07621537135332819,0.004109552856453246,0.014725317008719301,0.009383721300858287,0.5459375047860988,0.003573638727938774,0.0004976339236226931,0.034253330440269444,7.169677782223175e-05,2.0036646412476147,0.00030426212089083686,True,False
72081,0.0535610767885513,0.09683030501458467,0.0005879136785231431,0.021668467873144734,0.010650503800851079,0.25145936592952767,0.01732045013521847,0.0003416069585166841,0.14045671054373865,0.0001621239867702196,0.3184888771258308,0.00906250237606058,0.00039946791428222467,0.013500051786477084,1.2248812900670664e-06,14.467813996659999,4.483974581963915,True,False
72082,0.2115650487617553,0.047450400795745556,0.0015670012007946293,3.150601294664754,0.008975879183589178,0.7584353060915302,0.023308237342233123,0.004357770550052154,0.07307472839376587,0.0031601843196776935,1.130458757369177,0.02660758868348844,0.0043802701283073685,0.030231545956841244,0.0,1.9585412252575463,0.01860152723239996,True,True
72083,0.210119508727379,0.02438639884262417,0.002105462662262676,1.512101519255358,0.023549446369794166,0.414595636513208,0.048259455932108807,0.0036222465232524873,0.018824699326274973,0.0009441638048045592,0.7118297767052573,0.027747991582884723,0.0056843369603287505,0.013385207311922317,0.0030132576162310775,1.9992997992160182,0.00207196435567733,True,True
72084,0.09887383435801067,0.07502228640624732,0.0009390391120859992,0.15539246015332764,0.03623510146144582,0.18246043076880533,0.0825098674277861,0.004034139520514862,0.14924590521265232,0.007892703563638342,0.2993748275355421,0.05867364439659167,0.01616806325755422,0.023049891334447143,0.0006493264058539297,2.369398126464798,0.20774819205899675,True,False
72085,0.025603653205853054,,,,,0.12967989970327928,,,,,0.1586038320889049,,,,,,,False,False
72086,0.10843660130446303,0.027700201929357265,0.0004983288345219778,1.5617386918786407,0.01849971602774616,0.49918104936349705,0.010981840872412758,0.004141136312303996,0.00011537579144748382,8.450567248257022e-05,0.661747147096533,0.01217511104781315,0.009519459983747813,1.1263156010424066e-05,0.0,1.9837264108912285,0.01262756330892167,True,True
72087,0.16429390513246347,0.04175873410964366,0.0018275355454570538,0.3021861828121829,0.04807321581581102,0.4974483636698973,0.01223849009670634,0.006668523216681973,0.0010458383485945422,0.0002468487416127734,0.7434700030714422,0.023753865153813475,0.01722463740174208,0.0009796043033091935,0.0003477852070764085,2.2538908232165333,0.08482492136049645,True,True
72088,0.12960910383779817,0.05984053901602047,0.01383888795789419,2.7188233760065836,0.056061795155864555,0.47460652973288375,0.017323460702794544,0.003816026110172653,0.12581030849375657,0.0264450358095885,0.6657289605649283,0.12027396878399615,0.007718027821491104,0.0025254934125973974,0.0,1.9784877278875874,0.023432366726540678,True,False
72089,0.25057484241039046,0.0263297947548335,0.00013683900368045558,0.26522672286709287,0.005152661826266598,0.8882063005772458,0.0014445582778784404,0.0013406564078071168,0.0002715289147565863,3.827047202198385e-06,1.3613432967826955,0.003938698832227528,0.023775206594112436,0.00011375423823519262,4.519807417476165e-06,2.00040580424847,8.356655361361359e-05,True,True
72090,0.10831490942737139,0.07929543056690018,0.00261920139099524,0.13228383006388117,0.004911657404353642,0.1823437720006535,0.04093130510065302,0.008226470741196576,0.020555583834807097,0.002481746300156619,0.31040923057692094,0.009031739005284254,0.000685152951296027,3.1099704669152644,2.3648736208156505e-05,3.40343043123231,0.4453547509394748,True,False
72091,0.11787820110541003,0.07808107913550599,0.0001665175016032342,0.1870672350991072,0.015052417637372676,0.36634957049433153,0.0084409396983742,0.0026976637097156403,0.0007534333963738667,0.00036782065594420665,0.5274123999453529,0.008639547386952903,0.002784949631122829,0.005030831358204258,1.1387994247664464e-05,1.9976645270289557,0.0017981838338904676,True,True
72092,0.18180696506388563,0.08356687619428964,0.0007388116814193246,0.07261920272470199,0.018260912881534537,0.2527532083848008,0.006024616856288502,0.002574532375869807,0.524352962513203,0.034521875682376614,0.4805124671752869,0.06840406493002811,0.002322772823732787,0.04688974188802167,0.005914069530478549,29.990857808926435,8.600791522967665,True,False
72093,0.10024108088863277,0.037279400367695226,0.0007062586013389147,0.039771622891420125,0.023399688048865774,0.244594661574696,0.0418689440399968,0.006796416530668549,0.0381110349027209,0.01887980216340292,0.3693541757191656,0.01788077002546973,0.0006341182144017906,0.0702124654504566,0.017869372850468405,61.082740638770794,18.016182380407322,True,False
72094,0.14306341929462407,0.05524689499561178,0.0007020604313514896,0.13439110678485067,0.002988128712290497,0.3695732360390674,0.0007278897093671969,1.8100114599077565e-05,0.007843026131106467,0.002181315035954573,0.5655090661612197,0.002731006629377264,0.00019899775035162292,0.03969048341527434,0.0,1.9893583855479493,0.004231860376255424,True,True
72095,0.03682686134069624,0.28252163450455514,0.0010537555307802166,0.1357712659652827,0.023466259014650874,0.06946258515969994,0.09303471496037297,0.003301589993777129,0.045334255861478226,0.019591707303727772,0.10884753549243875,0.08876155228362753,0.007028857278287197,0.02948485494842764,0.0031977960875730575,105.03179263458874,34.14486796273627,True,False
